,Age,Borough,Interests,Biography
10,1,BROOKLYN,['Technology and Innovation'],"['I hope to salvage old computers and repurpose them into something new and usable.', 'I hope to salvage old computers and repurpose them into something new and usable.']"
11,1,QUEENS,['Education'],"['I believe everyone should have the right to go to school.', 'At a summer bootcamp, I taught French to primary and secondary school students.']"
12,2,QUEENS,"['Education', 'Food and Agriculture', 'Outreach and Advertising']","['I helped as a learning and development coordinator for AI4Good summer lab.', 'At a summer bootcamp, I taught French to primary and secondary school students.', 'I worked as a farmer and mentor in Plainfield Heritage Farm.', 'I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.', 'Throughout my university years, I was the outreach coordinator for my program.', 'Contributing in small startups and equipping people with the right resources.']"
13,1,MANHATTAN,"['Health services', 'Environment and Climate change']","['I imagine helping with blood donations and helping make health resources accessible to patients.', 'I enjoy helping and caring for people within my community.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.', 'Environmental degradation needs to be stopped.']"
14,1,BROOKLYN,['Environment and Climate change'],"['Environmental degradation needs to be stopped.', 'I participated in several nature cleaning activities.']"
15,1,QUEENS,['Health services'],"['I enjoy helping and caring for people within my community.', 'I imagine helping with blood donations and helping make health resources accessible to patients.']"
16,1,BROOKLYN,['Child services'],"['I provided support for the child and family during the child abuse investigation process.', 'It is so fun working with kids and I love playing with them.']"
17,1,QUEENS,"['Social services', 'Food and Agriculture', 'Environment and Climate change']","['I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I imagine helping and fostering senior citizens with their daily needs.', 'I think everyone should have access to enough to eat to be healthy.', 'I am passionate about the food industry as I really like promoting healthy eating habits.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.', 'Environmental degradation needs to be stopped.']"
18,1,BROOKLYN,['Food and Agriculture'],"['I am passionate about the food industry as I really like promoting healthy eating habits.', 'I think everyone should have access to enough to eat to be healthy.']"
19,1,BROOKLYN,"['Recreation and Leisure', 'Recreation and Leisure', 'Technology and Innovation']","['Helping conduct swimming and other field games and mentoring team-spirit.', 'I am really passionate about sports and want to teach them to other people.', 'I worked as a guitarist in a local restaurant for six months.', 'Last summer, I coached a U16 girls soccer team.', 'Helping people with technology is really cool to me.', 'I hope to salvage old computers and repurpose them into something new and usable.']"
20,1,BROOKLYN,['Outreach and Advertising'],"['I like to engage in community service and help people advertise themselves to the public.', 'I really want to interact with the public.']"
21,1,BRONX,"['Advocacy and Justice', 'Recreation and Leisure']","['I take social issues such as gender discrimination very seriously and want to create an equitable society.', 'I volunteered at my local youth justice society assisting young people who have been in conflict with the law.', 'Helping conduct swimming and other field games and mentoring team-spirit.', 'I think play and sports are important for children’s development.']"
22,1,BROOKLYN,"['Technology and Innovation', 'Education']","['Teaching basic internet applications to people and helping them with smart technology.', 'I enjoy working with technological and electronic items as I am interested in learning about Robotics.', 'I would like to teach children subjects such as math and science.', 'I helped as a learning and development coordinator for AI4Good summer lab.']"
23,1,MANHATTAN,['Outreach and Advertising'],"['Worked as an outreach program coordinator for Edmonton Horticultural Society.', 'I like to engage in community service and help people advertise themselves to the public.']"
24,1,QUEENS,['Education'],"['I helped as a learning and development coordinator for AI4Good summer lab.', 'I helped as a learning and development coordinator for AI4Good summer lab.']"
25,2,BROOKLYN,"['Technology and Innovation', 'Education']","['I enjoy working with technological and electronic items as I am interested in learning about Robotics.', 'I hope to salvage old computers and repurpose them into something new and usable.', 'I believe everyone should have the right to go to school.', 'At a summer bootcamp, I taught French to primary and secondary school students.']"
26,2,MANHATTAN,"['Recreation and Leisure', 'Education', 'Technology and Innovation']","['I want to host outdoor events in my community to promote active living.', 'I worked as a guitarist in a local restaurant for six months.', 'I helped as a learning and development coordinator for AI4Good summer lab.', 'At a summer bootcamp, I taught French to primary and secondary school students.', 'I hope to salvage old computers and repurpose them into something new and usable.', 'I participated as a guest speaker in a webinar about machine learning.']"
27,1,BROOKLYN,"['Health services', 'Social services', 'Education']","['I enjoy helping and caring for people within my community.', 'I want to move patients from one location to another in the hospital', 'I helped with preparing food for the homeless', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.', 'At a summer bootcamp, I taught French to primary and secondary school students.']"
28,1,BRONX,"['Recreation and Leisure', 'Social services', 'Health services']","['I think play and sports are important for children’s development.', 'I worked as a guitarist in a local restaurant for six months.', 'I helped with preparing food for the homeless', 'I helped with preparing food for the homeless', 'I imagine helping with blood donations and helping make health resources accessible to patients.', 'I imagine helping with blood donations and helping make health resources accessible to patients.']"
29,0,BROOKLYN,['Health services'],"['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I imagine helping with blood donations and helping make health resources accessible to patients.']"
30,2,MANHATTAN,['Outreach and Advertising'],"['Throughout my university years, I was the outreach coordinator for my program.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.']"
31,1,MANHATTAN,"['Environment and Climate change', 'Social services']","['I participated in several nature cleaning activities.', 'Climate change is a global issue and I strongly believe in making Earth a sustainable planet.', 'I would like to conduct social and psycho-social assessments', 'I helped with preparing food for the homeless']"
32,1,BROOKLYN,"['Education', 'Education', 'Environment and Climate change']","['At a summer bootcamp, I taught French to primary and secondary school students.', 'I believe everyone should have the right to go to school.', 'At a summer bootcamp, I taught French to primary and secondary school students.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.', 'I want to help conduct a protest outside of the city centre to raise awareness for climate change.']"
33,1,QUEENS,['Environment and Climate change'],"['I participated in several nature cleaning activities.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.']"
34,1,BROOKLYN,['Child services'],"['Helping children with vaccination drives and childcare facilities like crutch and daycare.', 'For two weeks during winter break, I volunteered full-time at a day care.']"
35,1,MANHATTAN,['Advocacy and Justice'],"['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I imagine standing up for people/animals less spoken for, through petitions and marches.']"
36,1,QUEENS,['Social services'],"['I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.', 'I would like to conduct social and psycho-social assessments']"
37,1,BROOKLYN,"['Health services', 'Child services']","['I want to move patients from one location to another in the hospital', 'I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.', 'I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.']"
38,1,BROOKLYN,['Advocacy and Justice'],"['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I helped with organising several conferences and workshops related to women rights']"
39,1,QUEENS,['Education'],"['I would like to teach children subjects such as math and science.', 'I helped as a learning and development coordinator for AI4Good summer lab.']"
40,1,MANHATTAN,"['Recreation and Leisure', 'Child services']","['I want to host outdoor events in my community to promote active living.', 'I think play and sports are important for children’s development.', 'It is so fun working with kids and I love playing with them.', 'For two weeks during winter break, I volunteered full-time at a day care.']"
41,1,QUEENS,['Recreation and Leisure'],"['Helping conduct swimming and other field games and mentoring team-spirit.', 'Last summer, I coached a U16 girls soccer team.']"
42,1,BROOKLYN,"['Advocacy and Justice', 'Outreach and Advertising', 'Child services']","['I helped with organising several conferences and workshops related to women rights', 'I take social issues such as gender discrimination very seriously and want to create an equitable society.', 'Throughout my university years, I was the outreach coordinator for my program.', 'I really want to interact with the public.', 'Helping children with vaccination drives and childcare facilities like crutch and daycare.', 'I provided support for the child and family during the child abuse investigation process.']"
43,1,MANHATTAN,"['Child services', 'Outreach and Advertising']","['I really care about making the world safer for kids.', 'I provided support for the child and family during the child abuse investigation process.', 'I want to promote upcoming events hosted by local businesses or artists.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.']"
44,1,MANHATTAN,"['Health services', 'Environment and Climate change']","['I want to move patients from one location to another in the hospital', 'I imagine helping with blood donations and helping make health resources accessible to patients.', 'Environmental degradation needs to be stopped.', 'I participated in several nature cleaning activities.']"
45,1,QUEENS,"['Health services', 'Environment and Climate change', 'Food and Agriculture']","['I worked as a nurse in a hospital during Covid when there was lack of workforce.', 'I worked as a nurse in a hospital during Covid when there was lack of workforce.', 'I participated in several nature cleaning activities.', 'I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.', 'I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.', 'I worked as a farmer and mentor in Plainfield Heritage Farm.']"
46,1,QUEENS,['Social services'],"['I really care about helping other people.', 'I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.']"
47,1,QUEENS,"['Food and Agriculture', 'Social services']","['I imagine serving free food and vegetables in our local community shop.', 'As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.', 'I really care about helping other people.', 'I would like to conduct social and psycho-social assessments']"
48,1,QUEENS,['Technology and Innovation'],"['Helping people with technology is really cool to me.', 'Teaching basic internet applications to people and helping them with smart technology.']"
49,1,MANHATTAN,"['Outreach and Advertising', 'Advocacy and Justice']","['Worked as an outreach program coordinator for Edmonton Horticultural Society.', 'I really want to interact with the public.', 'I volunteered at my local youth justice society assisting young people who have been in conflict with the law.', 'I take social issues such as gender discrimination very seriously and want to create an equitable society.']"
50,1,MANHATTAN,['Social services'],"['I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I helped with preparing food for the homeless']"
51,1,BROOKLYN,['Food and Agriculture'],"['I am passionate about the food industry as I really like promoting healthy eating habits.', 'I imagine serving free food and vegetables in our local community shop.']"
52,1,BROOKLYN,['Food and Agriculture'],"['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.', 'As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.']"
53,1,BROOKLYN,"['Health services', 'Advocacy and Justice', 'Education']","['I want to move patients from one location to another in the hospital', 'I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I want to make a difference in the world.', 'I volunteered at my local youth justice society assisting young people who have been in conflict with the law.', 'I would like to teach children subjects such as math and science.', 'At a summer bootcamp, I taught French to primary and secondary school students.']"
54,1,QUEENS,['Food and Agriculture'],"['I think everyone should have access to enough to eat to be healthy.', 'I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.']"
55,1,BROOKLYN,"['Outreach and Advertising', 'Health services']","['I really want to interact with the public.', 'I like to engage in community service and help people advertise themselves to the public.', 'There isn’t equal access to medical services.', 'I enjoy helping and caring for people within my community.']"
56,1,BROOKLYN,['Education'],"['I would like to teach children subjects such as math and science.', 'I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.']"
57,1,QUEENS,['Recreation and Leisure'],"['Helping conduct swimming and other field games and mentoring team-spirit.', 'Last summer, I coached a U16 girls soccer team.']"
58,1,BROOKLYN,"['Recreation and Leisure', 'Health services', 'Child services']","['I think play and sports are important for children’s development.', 'I want to host outdoor events in my community to promote active living.', 'I imagine helping with blood donations and helping make health resources accessible to patients.', 'I want to move patients from one location to another in the hospital', 'For two weeks during winter break, I volunteered full-time at a day care.', 'For two weeks during winter break, I volunteered full-time at a day care.']"
59,1,QUEENS,"['Outreach and Advertising', 'Health services', 'Health services']","['I want to promote upcoming events hosted by local businesses or artists.', 'I like to engage in community service and help people advertise themselves to the public.', 'I enjoy helping and caring for people within my community.', 'I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I want to move patients from one location to another in the hospital', 'There isn’t equal access to medical services.']"
60,1,QUEENS,"['Technology and Innovation', 'Recreation and Leisure']","['I participated as a guest speaker in a webinar about machine learning.', 'Teaching basic internet applications to people and helping them with smart technology.', 'I am really passionate about sports and want to teach them to other people.', 'I worked as a guitarist in a local restaurant for six months.']"
61,1,MANHATTAN,"['Food and Agriculture', 'Advocacy and Justice', 'Child services']","['I am passionate about the food industry as I really like promoting healthy eating habits.', 'I am passionate about the food industry as I really like promoting healthy eating habits.', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I take social issues such as gender discrimination very seriously and want to create an equitable society.', 'For two weeks during winter break, I volunteered full-time at a day care.', 'I really care about making the world safer for kids.']"
62,1,BROOKLYN,['Social services'],"['I imagine helping and fostering senior citizens with their daily needs.', 'I would like to conduct social and psycho-social assessments']"
63,2,BROOKLYN,"['Food and Agriculture', 'Education']","['I think everyone should have access to enough to eat to be healthy.', 'As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.', 'I would like to teach children subjects such as math and science.', 'I helped as a learning and development coordinator for AI4Good summer lab.']"
64,0,BROOKLYN,"['Technology and Innovation', 'Child services', 'Child services']","['I hope to salvage old computers and repurpose them into something new and usable.', 'I participated as a guest speaker in a webinar about machine learning.', 'I provided support for the child and family during the child abuse investigation process.', 'I really care about making the world safer for kids.', 'I provided support for the child and family during the child abuse investigation process.', 'I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.']"
65,1,MANHATTAN,['Food and Agriculture'],"['I am passionate about the food industry as I really like promoting healthy eating habits.', 'As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.']"
66,1,MANHATTAN,"['Education', 'Education', 'Advocacy and Justice']","['I helped as a learning and development coordinator for AI4Good summer lab.', 'I would like to teach children subjects such as math and science.', 'I helped as a learning and development coordinator for AI4Good summer lab.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.', 'I want to make a difference in the world.', 'I imagine standing up for people/animals less spoken for, through petitions and marches.']"
67,1,MANHATTAN,['Child services'],"['For two weeks during winter break, I volunteered full-time at a day care.', 'Helping children with vaccination drives and childcare facilities like crutch and daycare.']"
68,1,BRONX,"['Education', 'Environment and Climate change', 'Advocacy and Justice']","['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.', 'I would like to teach children subjects such as math and science.', 'I want to help conduct a protest outside of the city centre to raise awareness for climate change.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I take social issues such as gender discrimination very seriously and want to create an equitable society.']"
69,1,BROOKLYN,['Outreach and Advertising'],"['Contributing in small startups and equipping people with the right resources.', 'I like to engage in community service and help people advertise themselves to the public.']"
70,1,BROOKLYN,"['Education', 'Technology and Innovation', 'Child services']","['I helped as a learning and development coordinator for AI4Good summer lab.', 'At a summer bootcamp, I taught French to primary and secondary school students.', 'Teaching basic internet applications to people and helping them with smart technology.', 'I participated as a guest speaker in a webinar about machine learning.', 'I really care about making the world safer for kids.', 'For two weeks during winter break, I volunteered full-time at a day care.']"
71,1,STATEN IS,"['Health services', 'Recreation and Leisure', 'Food and Agriculture']","['I imagine helping with blood donations and helping make health resources accessible to patients.', 'I imagine helping with blood donations and helping make health resources accessible to patients.', 'I think play and sports are important for children’s development.', 'Last summer, I coached a U16 girls soccer team.', 'I imagine serving free food and vegetables in our local community shop.', 'As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.']"
72,1,BROOKLYN,['Recreation and Leisure'],"['Helping conduct swimming and other field games and mentoring team-spirit.', 'I am really passionate about sports and want to teach them to other people.']"
73,1,BROOKLYN,"['Social services', 'Advocacy and Justice', 'Recreation and Leisure']","['I imagine helping and fostering senior citizens with their daily needs.', 'I would like to conduct social and psycho-social assessments', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I volunteered at my local youth justice society assisting young people who have been in conflict with the law.', 'I worked as a guitarist in a local restaurant for six months.', 'Helping conduct swimming and other field games and mentoring team-spirit.']"
74,1,BRONX,"['Education', 'Education']","['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.', 'I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.', 'At a summer bootcamp, I taught French to primary and secondary school students.']"
75,1,QUEENS,"['Food and Agriculture', 'Environment and Climate change']","['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.', 'I worked as a farmer and mentor in Plainfield Heritage Farm.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.', 'Environmental degradation needs to be stopped.']"
76,1,BROOKLYN,"['Education', 'Education']","['I helped as a learning and development coordinator for AI4Good summer lab.', 'I would like to teach children subjects such as math and science.', 'I helped as a learning and development coordinator for AI4Good summer lab.', 'I helped as a learning and development coordinator for AI4Good summer lab.']"
77,1,BRONX,"['Outreach and Advertising', 'Social services', 'Advocacy and Justice']","['Contributing in small startups and equipping people with the right resources.', 'Throughout my university years, I was the outreach coordinator for my program.', 'I imagine helping and fostering senior citizens with their daily needs.', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I volunteered at my local youth justice society assisting young people who have been in conflict with the law.', 'I want to make a difference in the world.']"
78,1,BRONX,['Recreation and Leisure'],"['I want to host outdoor events in my community to promote active living.', 'Helping conduct swimming and other field games and mentoring team-spirit.']"
79,1,QUEENS,['Recreation and Leisure'],"['Helping conduct swimming and other field games and mentoring team-spirit.', 'Helping conduct swimming and other field games and mentoring team-spirit.']"
80,1,QUEENS,"['Technology and Innovation', 'Technology and Innovation']","['I hope to salvage old computers and repurpose them into something new and usable.', 'I participated as a guest speaker in a webinar about machine learning.', 'Teaching basic internet applications to people and helping them with smart technology.', 'I participated as a guest speaker in a webinar about machine learning.']"
81,1,QUEENS,"['Environment and Climate change', 'Child services']","['Environmental degradation needs to be stopped.', 'Environmental degradation needs to be stopped.', 'I provided support for the child and family during the child abuse investigation process.', 'I provided support for the child and family during the child abuse investigation process.']"
82,1,BRONX,"['Food and Agriculture', 'Social services', 'Environment and Climate change']","['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.', 'I worked as a farmer and mentor in Plainfield Heritage Farm.', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I really care about helping other people.', 'I participated in several nature cleaning activities.', 'I want to help conduct a protest outside of the city centre to raise awareness for climate change.']"
83,1,BROOKLYN,"['Outreach and Advertising', 'Social services', 'Education']","['Throughout my university years, I was the outreach coordinator for my program.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.', 'I imagine helping and fostering senior citizens with their daily needs.', 'I would like to conduct social and psycho-social assessments', 'At a summer bootcamp, I taught French to primary and secondary school students.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.']"
84,1,MANHATTAN,['Recreation and Leisure'],"['I want to host outdoor events in my community to promote active living.', 'Last summer, I coached a U16 girls soccer team.']"
85,1,BROOKLYN,['Education'],"['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.', 'At a summer bootcamp, I taught French to primary and secondary school students.']"
86,2,BROOKLYN,"['Environment and Climate change', 'Outreach and Advertising']","['I participated in several nature cleaning activities.', 'Environmental degradation needs to be stopped.', 'I really want to interact with the public.', 'I really want to interact with the public.']"
87,1,BRONX,"['Outreach and Advertising', 'Health services']","['I really want to interact with the public.', 'I want to promote upcoming events hosted by local businesses or artists.', 'I enjoy helping and caring for people within my community.', 'I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.']"
88,0,BROOKLYN,"['Health services', 'Technology and Innovation', 'Advocacy and Justice']","['I worked as a nurse in a hospital during Covid when there was lack of workforce.', 'I worked as a nurse in a hospital during Covid when there was lack of workforce.', 'I participated as a guest speaker in a webinar about machine learning.', 'I participated as a guest speaker in a webinar about machine learning.', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ']"
89,1,BROOKLYN,"['Recreation and Leisure', 'Health services', 'Outreach and Advertising']","['Helping conduct swimming and other field games and mentoring team-spirit.', 'I think play and sports are important for children’s development.', 'I enjoy helping and caring for people within my community.', 'I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'Contributing in small startups and equipping people with the right resources.', 'I like to engage in community service and help people advertise themselves to the public.']"
90,1,BROOKLYN,"['Food and Agriculture', 'Technology and Innovation']","['I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.', 'I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.', 'Teaching basic internet applications to people and helping them with smart technology.', 'I enjoy working with technological and electronic items as I am interested in learning about Robotics.']"
91,1,BRONX,['Health services'],"['I imagine helping with blood donations and helping make health resources accessible to patients.', 'There isn’t equal access to medical services.']"
92,2,MANHATTAN,['Health services'],"['I enjoy helping and caring for people within my community.', 'I worked as a nurse in a hospital during Covid when there was lack of workforce.']"
93,1,MANHATTAN,"['Advocacy and Justice', 'Food and Agriculture']","['I helped with organising several conferences and workshops related to women rights', 'I imagine standing up for people/animals less spoken for, through petitions and marches.', 'I am passionate about the food industry as I really like promoting healthy eating habits.', 'I am passionate about the food industry as I really like promoting healthy eating habits.']"
94,1,QUEENS,['Social services'],"['I imagine helping and fostering senior citizens with their daily needs.', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.']"
95,1,MANHATTAN,['Advocacy and Justice'],"['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I volunteered at my local youth justice society assisting young people who have been in conflict with the law.']"
96,1,MANHATTAN,"['Education', 'Health services', 'Outreach and Advertising']","['I helped as a learning and development coordinator for AI4Good summer lab.', 'I would like to teach children subjects such as math and science.', 'I want to move patients from one location to another in the hospital', 'I worked as a nurse in a hospital during Covid when there was lack of workforce.', 'I want to promote upcoming events hosted by local businesses or artists.', 'I like to engage in community service and help people advertise themselves to the public.']"
97,0,QUEENS,"['Food and Agriculture', 'Technology and Innovation', 'Recreation and Leisure']","['I am passionate about the food industry as I really like promoting healthy eating habits.', 'I am passionate about the food industry as I really like promoting healthy eating habits.', 'I hope to salvage old computers and repurpose them into something new and usable.', 'Teaching basic internet applications to people and helping them with smart technology.', 'I want to host outdoor events in my community to promote active living.', 'I am really passionate about sports and want to teach them to other people.']"
98,0,QUEENS,['Outreach and Advertising'],"['I really want to interact with the public.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.']"
99,1,BROOKLYN,"['Technology and Innovation', 'Recreation and Leisure']","['Teaching basic internet applications to people and helping them with smart technology.', 'Teaching basic internet applications to people and helping them with smart technology.', 'I am really passionate about sports and want to teach them to other people.', 'I worked as a guitarist in a local restaurant for six months.']"
100,1,STATEN IS,['Social services'],"['I imagine helping and fostering senior citizens with their daily needs.', 'I would like to conduct social and psycho-social assessments']"
101,1,QUEENS,['Outreach and Advertising'],"['Contributing in small startups and equipping people with the right resources.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.']"
102,0,MANHATTAN,['Health services'],"['I imagine helping with blood donations and helping make health resources accessible to patients.', 'I want to move patients from one location to another in the hospital']"
103,1,QUEENS,"['Recreation and Leisure', 'Recreation and Leisure']","['I am really passionate about sports and want to teach them to other people.', 'I want to host outdoor events in my community to promote active living.', 'Helping conduct swimming and other field games and mentoring team-spirit.', 'I worked as a guitarist in a local restaurant for six months.']"
104,0,BRONX,"['Environment and Climate change', 'Food and Agriculture', 'Outreach and Advertising']","['I want to help conduct a protest outside of the city centre to raise awareness for climate change.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.', 'I imagine serving free food and vegetables in our local community shop.', 'I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.', 'Throughout my university years, I was the outreach coordinator for my program.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.']"
105,1,BRONX,['Social services'],"['I helped with preparing food for the homeless', 'I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.']"
106,1,QUEENS,"['Social services', 'Environment and Climate change']","['I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I imagine helping and fostering senior citizens with their daily needs.', 'Climate change is a global issue and I strongly believe in making Earth a sustainable planet.', 'I participated in several nature cleaning activities.']"
107,0,BROOKLYN,['Social services'],"['I would like to conduct social and psycho-social assessments', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.']"
108,1,QUEENS,['Health services'],"['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I imagine helping with blood donations and helping make health resources accessible to patients.']"
109,1,QUEENS,['Health services'],"['There isn’t equal access to medical services.', 'I want to move patients from one location to another in the hospital']"
110,1,BROOKLYN,['Technology and Innovation'],"['I enjoy working with technological and electronic items as I am interested in learning about Robotics.', 'I hope to salvage old computers and repurpose them into something new and usable.']"
